GyroX,GyroY,GyroZ
-0.02072,0.00622,0.02277
-0.02072,0.00622,0.02277
-0.02831,0.02899,-0.03795
-0.02831,0.02899,-0.03795
-0.02831,0.02899,-0.03795
-0.02831,0.02899,-0.03795
-0.02831,0.02899,-0.03795
-0.02831,0.02899,-0.03795
-0.00554,0.04417,0.00759
-0.00554,0.04417,0.00759
-0.00554,0.04417,0.00759
-0.00554,0.04417,0.00759
-0.00554,0.04417,0.00759
0.04,0.0214,0.03036
0.04,0.0214,0.03036
0.04,0.0214,0.03036
0.04,0.0214,0.03036
0.04,0.0214,0.03036
0.04,0.0214,0.03036
0.04,-0.00896,0.02277
0.04,-0.00896,0.02277
0.04,-0.00896,0.02277
0.04,-0.00896,0.02277
0.04,-0.00896,0.02277
0.04,-0.00896,0.02277
0.05518,0.02899,0.00759
0.05518,0.02899,0.00759
0.05518,0.02899,0.00759
0.05518,0.02899,0.00759
0.05518,0.02899,0.00759
0.05518,0.02899,0.00759
0.04759,0.02899,-0.00759
0.04759,0.02899,-0.00759
0.04759,0.02899,-0.00759
0.04759,0.02899,-0.00759
0.04759,0.02899,-0.00759
0.04759,0.02899,-0.00759
0.01723,0.0214,0
0.01723,0.0214,0
0.01723,0.0214,0
0.01723,0.0214,0
0.01723,0.0214,0
0.01723,0.0214,0
-0.01313,0.03658,0.01518
-0.01313,0.03658,0.01518
-0.01313,0.03658,0.01518
-0.01313,0.03658,0.01518
-0.01313,0.03658,0.01518
-0.01313,0.03658,0.01518
0.01723,0.03658,-0.00759
0.01723,0.03658,-0.00759
0.01723,0.03658,-0.00759
0.01723,0.03658,-0.00759
0.01723,0.03658,-0.00759
0.01723,0.03658,-0.00759
0.00205,0.03658,0.04554
0.00205,0.03658,0.04554
0.00205,0.03658,0.04554
0.00205,0.03658,0.04554
0.00205,0.03658,0.04554
0.00205,0.03658,0.04554
-0.04349,0.03658,0.01518
-0.04349,0.03658,0.01518
-0.04349,0.03658,0.01518
-0.04349,0.03658,0.01518
-0.04349,0.03658,0.01518
-0.04349,0.03658,0.01518
-0.02831,0.0214,-0.01518
-0.02831,0.0214,-0.01518
-0.02831,0.0214,-0.01518
