GyroX,GyroY,GyroZ
0.01047,0.02072,0.0019
0.01047,0.02072,0.0019
-0.00471,0.05108,0.01708
-0.00471,0.05108,0.01708
-0.00471,0.05108,0.01708
-0.00471,0.05108,0.01708
-0.00471,0.05108,0.01708
-0.00471,0.05108,0.01708
0.00288,-0.02482,-0.00569
0.00288,-0.02482,-0.00569
0.00288,-0.02482,-0.00569
0.00288,-0.02482,-0.00569
0.00288,-0.02482,-0.00569
0.00288,-0.02482,-0.00569
0.00288,-0.00964,-0.02087
0.00288,-0.00964,-0.02087
0.00288,-0.00964,-0.02087
0.00288,-0.00964,-0.02087
0.00288,-0.00964,-0.02087
-0.02748,0.01313,-0.02846
-0.02748,0.01313,-0.02846
-0.02748,0.01313,-0.02846
-0.02748,0.01313,-0.02846
-0.02748,0.01313,-0.02846
-0.02748,0.01313,-0.02846
-0.01989,-0.04759,-0.00569
-0.01989,-0.04759,-0.00569
-0.01989,-0.04759,-0.00569
-0.01989,-0.04759,-0.00569
-0.01989,-0.04759,-0.00569
-0.01989,-0.04759,-0.00569
0.06361,0.01313,-0.04364
0.06361,0.01313,-0.04364
0.06361,0.01313,-0.04364
0.06361,0.01313,-0.04364
0.06361,0.01313,-0.04364
0.06361,0.01313,-0.04364
0.03324,0.02072,-0.04364
0.03324,0.02072,-0.04364
0.03324,0.02072,-0.04364
0.03324,0.02072,-0.04364
0.03324,0.02072,-0.04364
0.03324,0.02072,-0.04364
0.03324,0.01313,-0.02846
0.03324,0.01313,-0.02846
0.03324,0.01313,-0.02846
0.03324,0.01313,-0.02846
0.03324,0.01313,-0.02846
0.03324,0.01313,-0.02846
0.02565,0.02831,-0.02846
0.02565,0.02831,-0.02846
0.02565,0.02831,-0.02846
0.02565,0.02831,-0.02846
0.02565,0.02831,-0.02846
0.02565,0.02831,-0.02846
0.04083,-0.00964,-0.02087
0.04083,-0.00964,-0.02087
0.04083,-0.00964,-0.02087
0.04083,-0.00964,-0.02087
0.04083,-0.00964,-0.02087
0.04083,-0.00964,-0.02087
0.10156,-0.04759,-0.03605
0.10156,-0.04759,-0.03605
0.10156,-0.04759,-0.03605
0.10156,-0.04759,-0.03605
